@id,rdf:type,togaf:businessCapabilityDecomposesBusinessCapability,rdfs:label,rdfs:comment,dcterms:source
aimrm:1,togaf:BusinessCapability,,AI Model Risk Management,,https://www.finra.org/rules-guidance/key-topics/fintech/report/artificial-intelligence-in-the-securities-industry/request-for-comments
aimrm:2,togaf:BusinessCapability,aimrm:1,Model validation processes,"Update model validation processes to account for complexities of an ML model.31 This includes reviewing the input data (e.g., review for potential bias), the algorithms (e.g., review for errors), any parameters (e.g., verify risk thresholds), and the output (e.g., determine explainability of the output).",https://www.finra.org/rules-guidance/key-topics/fintech/report/artificial-intelligence-in-the-securities-industry/request-for-comments
aimrm:3,togaf:BusinessCapability,aimrm:2,Input data review,,https://www.finra.org/rules-guidance/key-topics/fintech/report/artificial-intelligence-in-the-securities-industry/request-for-comments
aimrm:4,togaf:BusinessCapability,aimrm:2,Algorithm review,,https://www.finra.org/rules-guidance/key-topics/fintech/report/artificial-intelligence-in-the-securities-industry/request-for-comments
aimrm:5,togaf:BusinessCapability,aimrm:2,Parameter Review,,https://www.finra.org/rules-guidance/key-topics/fintech/report/artificial-intelligence-in-the-securities-industry/request-for-comments
aimrm:6,togaf:BusinessCapability,aimrm:2,Output Review,,https://www.finra.org/rules-guidance/key-topics/fintech/report/artificial-intelligence-in-the-securities-industry/request-for-comments
aimrm:7,togaf:BusinessCapability,aimrm:1,Model testing,"Conduct upfront as well as ongoing testing, including tests that experiment with different and stressed scenarios (e.g., unprecedented market conditions) and new datasets.",https://www.finra.org/rules-guidance/key-topics/fintech/report/artificial-intelligence-in-the-securities-industry/request-for-comments
aimrm:8,togaf:BusinessCapability,aimrm:7,Upfront testing,,https://www.finra.org/rules-guidance/key-topics/fintech/report/artificial-intelligence-in-the-securities-industry/request-for-comments
aimrm:9,togaf:BusinessCapability,aimrm:7,Ongoing testing,,https://www.finra.org/rules-guidance/key-topics/fintech/report/artificial-intelligence-in-the-securities-industry/request-for-comments
aimrm:10,togaf:BusinessCapability,aimrm:1,Model lifecycle management,Employ current and new models in parallel and retire current models only after the new ones are thoroughly validated.,https://www.finra.org/rules-guidance/key-topics/fintech/report/artificial-intelligence-in-the-securities-industry/request-for-comments
aimrm:11,togaf:BusinessCapability,aimrm:1,Model inventory management,"Maintain a detailed inventory of all AI models, along with any assigned risk ratings such that the models can be appropriately monitored and managed based on their risk levels.",https://www.finra.org/rules-guidance/key-topics/fintech/report/artificial-intelligence-in-the-securities-industry/request-for-comments
aimrm:12,togaf:BusinessCapability,aimrm:11,Risk ratings development,,https://www.finra.org/rules-guidance/key-topics/fintech/report/artificial-intelligence-in-the-securities-industry/request-for-comments
aimrm:13,togaf:BusinessCapability,aimrm:1,Model monitoring,"Develop model performance benchmarks (e.g., number of false negatives) and an ongoing monitoring and reporting process to ensure that the models perform as intended, particularly when the models involved are self-training and evolve over time.",https://www.finra.org/rules-guidance/key-topics/fintech/report/artificial-intelligence-in-the-securities-industry/request-for-comments
aimrm:14,togaf:BusinessCapability,aimrm:13,Performance benchmark development,,https://www.finra.org/rules-guidance/key-topics/fintech/report/artificial-intelligence-in-the-securities-industry/request-for-comments
aimrm:15,togaf:BusinessCapability,aimrm:13,Ongoing performance monitoring,,https://www.finra.org/rules-guidance/key-topics/fintech/report/artificial-intelligence-in-the-securities-industry/request-for-comments
